title,price,location,link,description
Stewart Audio PA-50B 100 watt Power Amp,50.00,"Brooklyn, NY",https://newyork.craigslist.org/brk/msg/d/brooklyn-stewart-audio-pa-50b-100-watt/7869380676.html,"Stewart Audio PA-50B 100 watt Power Amp, made in USA. Great quality piece of gear. I've used it as an acoustic guitar amp, power amp for home stereo, and portable PA system, very versatile piece.. 1/2 rack size.  Loud, powerful, much warmer sounding than modern Class D amps. Depending on signal chain there is the slightest ""pop"" when powering down, certainly not significant enough to damage speakers.  I've used it for years without issue."
🟢 Stereo Headphone tube Amp 5 tubes preamp hi-end Boutique -wow amazi,499.00,"Brooklyn, NY",https://newyork.craigslist.org/brk/msg/d/brooklyn-stereo-headphone-tube-amp/7855766992.html,works great amazing big sound green light is dynamic jumps with music comes with 24v adapter
Amphion Amp500 Amp 500 Amp-500 One15 Two15 one18 two18 Power Amplifier,1250.00,"Brooklyn, NY",https://newyork.craigslist.org/brk/msg/d/brooklyn-amphion-amp500-amp-500-amp-500/7873307445.html,🚀 Amphion Amp500 Amp 500 Amp-500 One15 Two15 one18 two18 Power Amplifier 🚀
Roland KC60 1x10 40W Keyboard Amp For Sale,125.00,"Brooklyn, NY",https://newyork.craigslist.org/brk/msg/d/brooklyn-roland-kc60-1x10-40w-keyboard/7867598911.html,Roland KC60 1x10 40W Keyboard Amp For Sale The KC-60 3-Channel Mixing Keyboard Amplifier. With three separate channels—including an XLR Microphone input and stereo Auxiliary input—the KC-60 is one of the most flexible amps around. This affordable 40-watt amp is also the first to feature a Subwoofer output for enhanced low end. Selling For $125 Firm Mint!
Visible Signals Dual Distrib 2 channel video distribution amp Eurorack,70.00,"Brooklyn, NY",https://newyork.craigslist.org/brk/msg/d/brooklyn-visible-signals-dual-distrib/7855883016.html,"I'm selling off one of my extra Visible Signals Dual Distrib 2 channel video distribution amp for $70. Dual Distrib is a two-channel video distribution amplifier for the eurorack video modular format, with three independent outputs for each input.  Each input and output is fully compatible with video industry standard 75 ohm video signals, and each output is fully isolated with its own independent op-amp for maximum reliability and signal stability. Composite and Component video signals can be fickle, requiring proper 75 ohm termination to guarantee the best possible image quality.  When you have one video source to send to two or more receiving device inputs using a splitter cable doesn’t work very well, and a distribution amplifier is required.  There are stand-alone devices already available to do this, but this 4HP module mounts conveniently in your rack, saving space and avoiding the need for an external plug-pack to power it! This module provides two independent distribution amplifiers, each with three outputs."
Roland KC60 1x10 40W Keyboard Amp For Sale,125.00,"Brooklyn, NY",https://newyork.craigslist.org/brk/msg/d/brooklyn-roland-kc60-1x10-40w-keyboard/7855478912.html,Roland KC60 1x10 40W Keyboard Amp For Sale The KC-60 3-Channel Mixing Keyboard Amplifier. With three separate channels—including an XLR Microphone input and stereo Auxiliary input—the KC-60 is one of the most flexible amps around. This affordable 40-watt amp is also the first to feature a Subwoofer output for enhanced low end. Selling For $125 Firm Mint!
Roland KC60 1x10 40W Keyboard Amp For Sale,125.00,"Brooklyn, NY",https://newyork.craigslist.org/brk/msg/d/brooklyn-roland-kc60-1x10-40w-keyboard/7847722759.html,Roland KC60 1x10 40W Keyboard Amp For Sale The KC-60 3-Channel Mixing Keyboard Amplifier brings renowned KC-Series sound quality to an even lower price. This affordable 40-watt amp is also the first to feature a Subwoofer output for enhanced low end. And with three separate channels—including an XLR Microphone input and stereo Auxiliary input—the KC-60 is one of the most flexible amps around. Selling For $125 Firm
Behringer BDI Bass Amp Modeler Driver DI,20.00,"Brooklyn, NY",https://newyork.craigslist.org/brk/msg/d/brooklyn-behringer-bdi-bass-amp-modeler/7872380061.html,Behringer BDI Bass Amp Modeler Driver DI Direct Box In excellent shape with original box
Yamaha DTX400K Electronic Drum Kit (& Amp) For Sale,225.00,"Brooklyn, NY",https://newyork.craigslist.org/brk/msg/d/brooklyn-yamaha-dtx400k-electronic-drum/7871044044.html,"Yamaha DTX400K Electronic Drum Kit For Sale The DT400K is lightweight & compact. It features 10 legendary drum kits and training functions, plus newly developed drum pads, large cymbals, and a new silent kick footboard. Here is a thorough review: https://www.soundonsound.com/reviews/yamaha-dtx400k Normally sells for $499 but now only $225 OBO, Mint Condition! This can be heard through headphones or an amp. I have an amp that I can include. A KC-60 3-Channel Amplifier. All for $300 Firm."
Roland KC60 1x10 40W Keyboard Amp For Sale,125.00,"Brooklyn, NY",https://newyork.craigslist.org/brk/msg/d/brooklyn-roland-kc60-1x10-40w-keyboard/7868383844.html,Roland KC60 1x10 40W Keyboard Amp For Sale The KC-60 3-Channel Mixing Keyboard Amplifier. With three separate channels - including an XLR Microphone input and stereo Auxiliary input - the KC-60 is one of the most flexible amps around. This affordable 40-watt amp is also the first to feature a Subwoofer output for enhanced low end. Selling For $125 OBO Mint!
Kemper Profiling Amp (Non-Powered),800.00,"Brooklyn, NY",https://newyork.craigslist.org/brk/msg/d/brooklyn-kemper-profiling-amp-non/7843451438.html,"I got this 10 years ago and used it for a while in a studio. Since then, it's been sitting on a shelf. It has an old OS (3.2.1.11625) but can be updated."
"Line 6 Spider V 120 MkII 1x12"" 120-watt Modeling Combo Amp",300.00,"Brooklyn, NY",https://newyork.craigslist.org/brk/msg/d/brooklyn-line-spider-120-mkii-1x-watt/7865543470.html,"Comes with cover as shown in pictures. Hardly used, works like new. Come play it in my studio"
Hartke LH1000 Bass Amp Perfect Condition,450.00,"Brooklyn, NY",https://newyork.craigslist.org/brk/msg/d/brooklyn-hartke-lh1000-bass-amp-perfect/7865543525.html,"HD1000 in perfect condition. Played about 10 gigs. Asking $450. If you want the complete 10 rack space and the EQ as shown in pictures, asking $550"
Roland RD-700GX 88-Key Digital Stage Piano W.KC60 AMP,1000.00,"Brooklyn, NY",https://newyork.craigslist.org/brk/msg/d/brooklyn-roland-rd-700gx-88-key-digital/7852267798.html,Roland RD-700GX 88-Key Digital Stage Piano W.KC60 AMP Amazing Sounds Keyboard 88 keys weighted Used in the studio only. Roland RD-700GX 88-Key Digital Stage Piano Sustain Pedal Roland KC60 Amp Keyboard Stand Speaker Stand If Ad is up then still avail Tested and Works with No Issues
VOX VT40Plus Valvetronix 1x10 40W Guitar Combo Amp,100.00,"Brooklyn, NY",https://newyork.craigslist.org/brk/msg/d/brooklyn-vox-vt40plus-valvetronix-1x10/7863825558.html,"working modeling amp for sale or trade, especially pedals Used and in Good condition, the VOX VT40Plus Valvetronix 1x10 40W Guitar Combo Amp delivers classic tube warmth with modern versatility. Featuring a 12AX7 preamp tube and 99 built-in presets, this 40-watt amp offers 33 amp models and 25 onboard effects for expansive tonal control. The single 10"" VOX original speaker provides clear articulation and punch, while the power level control lets you dial in cranked tube tones at lower volumes. With headphone output  and sturdy construction, it’s great for practice, recording, or live use. Minor cosmetic wear does not affect performance."
Fryette 2/90/2 Stereo Power Amp,600.00,"Brooklyn, NY",https://newyork.craigslist.org/brk/msg/d/brooklyn-fryette-stereo-power-amp/7846331818.html,"Amazing headroom, clarity and power. Too much for my needs. One screw on the top has been replaced because it was stripped. Some cosmetic marks and needs a check up with an amp tech. Channel B sounds like it has a bad tube. Price reflects the maintenance needed. Price is firm."
Blackheart Little Giant - 5 Watt Tube Amp Head,150.00,"Brooklyn, NY",https://newyork.craigslist.org/brk/msg/d/brooklyn-blackheart-little-giant-watt/7854023008.html,Only one tiny knick in the tolex that I can find. Everything else is like new. Sounds great. I just use it enough and moved into a tiny apartment.
RARE Kay Mid 60's Tube Amp Vintage,400.00,"Brooklyn, NY",https://newyork.craigslist.org/brk/msg/d/brooklyn-rare-kay-mid-60s-tube-amp/7842181791.html,RARE Kay Bass Amp in great working condition. These are hard to come by and retail $900 and up. Model 720 Tube Amp. Mid 60's. Vintage
"Orange Rockerverb 50 MKIII NEO 2-12"" Tube Combo Amp - Mint w/Box",2500.00,"Brooklyn, NY",https://newyork.craigslist.org/brk/msg/d/brooklyn-orange-rockerverb-50-mkiii-neo/7846264435.html,"Orange Rockerverb 50 MKIII NEO 2-12"" Tube Combo Amp - Mint w/Box Recently obtained from a friend of ours who is constantly buying and selling equipment in search of the perfect tone. Amp is tested and working perfectly. No issues to report. In mint condition. Used maybe half a dozen times by owner before deciding to sell. Never gigged with. See photos for more details. Some specs in the photo section of this listing Listing is for Orange Rockerverb 50 MKIII NEO 2-12"" Tube Combo Amp - Mint w/Box as pictured only. No other accessories included. GRAB IT WHILE YOU CAN!"
"Line 6 Spider IV 75W 1x12"" Guitar Amp",130.00,"Brooklyn, NY",https://newyork.craigslist.org/brk/msg/d/brooklyn-line-spider-iv-75w-1x12-guitar/7872526593.html,"Packed with 16 amp models and 20 inspiring FX (up to 4 at once), a 12 Celestion speaker, and over 300 presets dialed in by 50 famous guitarists and bands including Slipknot, Meshuggah, Johnny Marr, and Minus the Bear, plus over 200 song-based presets. Modern flexibility comes courtesy of a built-in tuner, CD/MP3 input, headphone output, and 64 user-created presets. 12 Celestion Custom speaker and 3/4-closed-back cabinet provide tight, snappy response. Does not overheat. Works great."
"Line 6 Spider III 75W 1x12"" Guitar Amp",120.00,"Brooklyn, NY",https://newyork.craigslist.org/brk/msg/d/brooklyn-line-spider-iii-75w-1x12/7872523635.html,"This Line 6 Guitar Amp has 7 Smart Control FX including Tape Echo, Sweep Echo, Standard Delay, etc. Now create your own guitar sounds with this 12-inch Guitar Combo Amplifier having 250 artist presets. For a specific sound, the Line 6 Spider III 75 includes 150 song-based presets. Furthermore, this 12-inch Guitar Combo Amplifier has Plus 36 user programmable presets. This Line 6 Guitar Amp features a 12-inch Custom Celestion Speaker. Integrated with front panel tuner, the Line 6 Spider III 75 allows you to adjust the sound settings as desired. Does not overheat. Works great."
Fender Squier Champ 15 Watts Guitar Amp,50.00,"Brooklyn, NY",https://newyork.craigslist.org/brk/msg/d/brooklyn-fender-squier-champ-15-watts/7861687503.html,Fender Squier Champ 15 Watts Guitar Amp Item is tested and is in good working condition.
Fishman Platinum Stage Pre-Amp,125.00,"Brooklyn, NY",https://newyork.craigslist.org/brk/msg/d/brooklyn-fishman-platinum-stage-pre-amp/7871802766.html,"Fishman Platinum Stage Pre-Amp in excellent condition. A fantastic small but powerful pre-amp. Cash only, in-person transaction."
Fender Rumble 30 Bass Amp - Excellent Condition,125.00,"Brooklyn, NY",https://newyork.craigslist.org/brk/msg/d/brooklyn-fender-rumble-30-bass-amp/7870871139.html,"Fender Rumble 30 Bass Amp - Excellent Condition - $125 Great sounding 30-watt bass combo amp in excellent condition. This amp is about 10-15 years old but was barely used and has been well-maintained. Perfect for practice, small gigs, or recording. Features: • 30 watts of power • 10"" Fender Special Design speaker • Overdrive circuit with separate controls • 3-band EQ • Auxiliary input for playing along with music • Headphone output for silent practice This amp has been well-maintained and shows no signs of wear. All knobs, inputs, and controls work perfectly. Power cord and patch cable included. Cash or Venmo accepted. Must pick up in Park Slope, Brooklyn. Serious inquiries only - please include your phone number when responding."
"Fender ""Evil Twin"" Twin Amp PR266",750.00,"Brooklyn, NY",https://newyork.craigslist.org/brk/msg/d/brooklyn-fender-evil-twin-twin-amp-pr266/7862735615.html,"Fender ""Evil Twin"" Twin Amp PR266. 90s, used, never left the house, never gigged with. Bought new. Minor dings, and the fibers on the screen on the front are sticking out a bit in a couple spots. A couple dials are crackly—needs the kind of minor TLC that any amp this old would need if you wanted this thing to be perfect, but otherwise, this thing is a beast. If you're even looking at this, you already know that! Haha. Sold as-is, but feel free to try it out before leaving with it. Pick up only. Cash or Venmo."
Teisco TRE-100 1965 Sunburst MIJ Built in Amp TRG-1 Gold Foil,490.00,"Brooklyn, NY",https://newyork.craigslist.org/brk/msg/d/brooklyn-teisco-tre-sunburst-mij-built/7847905310.html,"1965 Teisco Del Rey TRE-100 Sunburst Cool vintage made in Japan Teisco! This guitar has a built in amplifier but it is not working. The rest of the guitar works and plays great but the on/off switch for the amp doesn't do anything and no sound comes from the built in speaker. It still works normally when plugged into an external amplifier though. This Teisco has a really cool big headstock, deep V neck profile, a much sought after Gold Foil pickup, and a Gibson style 24-3/4"" scale length and 1-11/16"" nut width. The guitar has been professionally set up and is ready to play! It comes with a gig bag. The guitar is all original except for the knobs and back plate. These models were sold as this, the Teisco TRE-100, and the Teisco TRET-110, Silvertone 1487, Teisco TRG-1, TRG-1L, TRG-2, and TRG-2L. The guitar is used and shows signs of wear including nicks, dings, dents, scrapes, scratches, dirt, grime, rust, bumps, and bruises, but is in otherwise great shape. The body looks like it had a small crack or scratch that was repaired. It doesn't appear to be deep or open. The amplifier will need to be repaired in order to work but it was not evaluated and we do not know what repairs are necessary. The guitar is being sold as-is due to the amplifier. Please feel free to ask if you have any questions!"
Fender Rumble 25 Bass Amp For Sale (with a free guitar stand),100.00,"Brooklyn, NY",https://newyork.craigslist.org/brk/msg/d/brooklyn-fender-rumble-25-bass-amp-for/7869121503.html,"This is a 2 year old Fender 25 Rumble bass amp for sale. It’s in excellent condition, sounds awesome. No cosmetic defects. Comes with a free guitar stand. Pickup in Brooklyn."
Orange Crush 30R - Guitar Amp,100.00,"Brooklyn, NY",https://newyork.craigslist.org/brk/msg/d/brooklyn-orange-crush-30r-guitar-amp/7869312029.html,"Bought this on Craigslist myself in 2021 and just haven't had occasion to use it. Power cable included, no instrument cables."
Fender Frontman 10G amp,40.00,"Brooklyn, NY",https://newyork.craigslist.org/brk/msg/d/brooklyn-fender-frontman-10g-amp/7869047001.html,"Looking to sell Fender Frontman G amplifier. Like new, barely used and in good condition. Usually sells for $80ish so asking $40, open to offers."
Vintage Fender Twin Reverb Silverface Guitar Amp - Fully Professionall,900.00,"Brooklyn, NY",https://newyork.craigslist.org/brk/msg/d/brooklyn-vintage-fender-twin-reverb/7868775799.html,"For sale is a 1979 Fender Twin Reverb Silverface amplifier. I got this completely professionally serviced 2 months ago, and have kept it in a smoke-free, climate-controlled studio since then. Definitely has cosmetic signs of wear, but the amp functions perfectly and sounds amazing. Only selling this because I'm downsizing my studio. Full professional service done by Patrick Kauffman Electronics, which included the following: • Original power cable replaced with a safe, fully grounded power cable (this is an absolute ""must-have"" for the older Fender Twins). • Replaced worn out original speakers with a pair of new Jensen C12N 12-inch 50-watt Ceramic Speakers (worth $224) • All power tubes replaced with 6L6GC JJ tubes • All ceramic socket brackets replaced • Various old resistors and capacitors replaced (I can provide the full invoice with the list of specific capacitors and resistors replaced). Buyer must pick up in Bushwick. Cash only."
Zoom Fire 30 modeling amp,100.00,"Brooklyn, NY",https://newyork.craigslist.org/brk/msg/d/brooklyn-zoom-fire-30-modeling-amp/7868723515.html,Excellent condition.
Line 6 Spider IV 15 modeling amp,75.00,"Brooklyn, NY",https://newyork.craigslist.org/brk/msg/d/brooklyn-line-spider-iv-15-modeling-amp/7868722919.html,Excellent condition.
Randall Titan amp,600.00,"Brooklyn, NY",https://newyork.craigslist.org/brk/msg/d/brooklyn-randall-titan-amp/7853673965.html,"Randall Titan guitar amp. Good condition, recently tested. Sounds great, happy to hook it up in space for buyer to check it out. Features: 300W Mono 2 channels - Rhythm/Overdrive Independent Gain and Master Volume 3-band EQ with mid-sweep Reverb FX loop - Parallel independent line-out w/Master Level Foot Switch Channel switching C.C. Solid State"
Auratone 5C pair with A2-30 amp,600.00,"Brooklyn, NY",https://newyork.craigslist.org/brk/msg/d/brooklyn-auratone-5c-pair-with-a2-30-amp/7868193444.html,"Selling my auratones with the auratone brand amp. Work perfectly. Test, make an offer etc."
Dwarf Guitar Amp 70's,200.00,"Brooklyn, NY",https://newyork.craigslist.org/brk/msg/d/brooklyn-dwarf-guitar-amp-70s/7868176344.html,cool little solid state amp. rumor has it jeff beck was into these. made in northern california in the 70s. has a line and speaker out. great for the studio!
Boss Katana-50 Guitar Amp,200.00,"Brooklyn, NY",https://newyork.craigslist.org/brk/msg/d/brooklyn-boss-katana-50-guitar-amp/7866184006.html,"Boss Katana-50 combo amp in excellent condition, barely used with no scratches or damage. This 50-watt powerhouse features 5 amp characters (Clean, Crunch, Lead, Brown, Acoustic), built-in BOSS effects with 65 customizable options via BOSS Tone Studio, Power Control for bedroom to stage volume, 4 Tone Setting memories for instant recall, and line/USB/headphone outputs with cabinet emulation. Perfect for practice, recording, or small gigs."
LINE 6 Spider Valve 112 Combo Modeling 50 Watt Guitar Amp,275.00,"Brooklyn, NY",https://newyork.craigslist.org/brk/msg/d/brooklyn-prs-channel-amp-usa-50-watt/7868033400.html,"PRS 2 Channel ""H"" 50 Watt Amp Head Made in USA"
Supro Blues King 12 - 15 Watt Tube Amp,350.00,"Brooklyn, NY",https://newyork.craigslist.org/brk/msg/d/brooklyn-supro-blues-king-watt-tube-amp/7867535797.html,"Fun, lightweight combo with a 12"" speaker. Provides solid cleans to overdriven blues/hard rock tones, with a tube driven spring reverb and FX loop. Used only at home, in mint condition. Includes original footswitch. Cash/Zelle only, no trades."
"Fender '65 Twin Reverb Reissue 85-Watt 2x12"" Guitar Combo Amp",850.00,"Brooklyn, NY",https://newyork.craigslist.org/brk/msg/d/brooklyn-fender-65-twin-reverb-reissue/7867208862.html,"Fender '65 Twin Reverb Reissue guitar amp with original 2x12"" speakers. 85 watts. In excellent condition, only used at home and selling because it's too loud for my setup. Some very slight cosmetic wear. Located in East Williamsburg"
FS Blue Mouse Microphone,800.00,"Brooklyn, NY",https://newyork.craigslist.org/brk/msg/d/brooklyn-fs-blue-mouse-microphone/7866635943.html,"For sale is a Blue Mouse microphone in excellent condition. Use sparingly in no-smoking, no-pets studio. No dents, never been dropped or abused. This is the black body version with the transformer-coupled output. Include storage box, original Blue shock Mount, and transport screws. Killer microphone for vocals, bass amp, etc. Brooklyn pickup. 718-449-94one5 No texts, no deliveries or meet-ups, no BS $800 cash only."
Dr. Z 38-Watt Tube Amplifier,1000.00,"Brooklyn, NY",https://newyork.craigslist.org/brk/msg/d/brooklyn-dr-38-watt-tube-amplifier/7857590858.html,No description scraped
Vintage dbx 161 Compressor/Limiter – Serviced + Custom Cables,925.00,"Brooklyn, NY",https://newyork.craigslist.org/brk/msg/d/brooklyn-vintage-dbx-161-compressor/7874642082.html,No description scraped
Traynor YBA-1A Bassmaster MKII 1971 (PRICE DROP),875.00,"Brooklyn, NY",https://newyork.craigslist.org/brk/msg/d/brooklyn-traynor-yba-1a-bassmaster-mkii/7874640441.html,No description scraped
"ESP LTD Eclipse EC-256, Electric Guitar, Les Paul Body",385.00,"Brooklyn, NY",https://newyork.craigslist.org/brk/msg/d/brooklyn-esp-ltd-eclipse-ec-256/7850461521.html,No description scraped
2022 Fender Player Stratocaster Floyd Rose tremolo system Electric Gui,575.00,"Brooklyn, NY",https://newyork.craigslist.org/brk/msg/d/brooklyn-2022-fender-player/7857854763.html,No description scraped
"2023 PRS SE Silver Sky Electric Guitar - Nylon Blue with Maple Fingerboard, min",595.00,"Brooklyn, NY",https://newyork.craigslist.org/brk/msg/d/brooklyn-2023-prs-se-silver-sky/7857855046.html,No description scraped
Yamaha DTX400K Electronic Drum Kit For Sale,225.00,"Brooklyn, NY",https://newyork.craigslist.org/brk/msg/d/brooklyn-yamaha-dtx400k-electronic-drum/7867598864.html,No description scraped
Magnatone MP1 Mid Sixties,600.00,"Brooklyn, NY",https://newyork.craigslist.org/brk/msg/d/brooklyn-magnatone-mp1-mid-sixties/7847582253.html,No description scraped
CHARA 2250 Guitar Head -2 channel 50/25W Mar$hall Jubilee Clone,1500.00,"Brooklyn, NY",https://newyork.craigslist.org/brk/msg/d/brooklyn-chara-2250-guitar-head-channel/7871399578.html,No description scraped
"1960 Fender Pro 12"" SPEAKER",100.00,"Brooklyn, NY",https://newyork.craigslist.org/brk/msg/d/brooklyn-1960-fender-pro-12-speaker/7831093358.html,No description scraped
Meris Ottobit Jr. Pedal,175.00,"Brooklyn, NY",https://newyork.craigslist.org/brk/msg/d/brooklyn-meris-ottobit-jr-pedal/7860149312.html,No description scraped
Vertex Steel String Supreme Pedal,100.00,"Brooklyn, NY",https://newyork.craigslist.org/brk/msg/d/brooklyn-vertex-steel-string-supreme/7860147989.html,No description scraped
Yamaha DTX400K Electronic Drum Kit For Sale,225.00,"Brooklyn, NY",https://newyork.craigslist.org/brk/msg/d/brooklyn-yamaha-dtx400k-electronic-drum/7869547296.html,No description scraped
Blockhead firstborn 18 watt 2x12,2000.00,"Brooklyn, NY",https://newyork.craigslist.org/brk/msg/d/brooklyn-blockhead-firstborn-18-watt/7872045451.html,No description scraped
FSOT: Blackstar Stereo 40 Electric Guitar Amplifier,150.00,"Brooklyn, NY",https://newyork.craigslist.org/brk/msg/d/brooklyn-fsot-blackstar-stereo-40/7863738583.html,No description scraped
EarthQuaker Devices Acapulco Gold V2 – Mint,100.00,"Brooklyn, NY",https://newyork.craigslist.org/brk/msg/d/brooklyn-earthquaker-devices-acapulco/7872533133.html,No description scraped
Yamaha DTX400K Electronic Drum Kit For Sale,225.00,"Brooklyn, NY",https://newyork.craigslist.org/brk/msg/d/brooklyn-yamaha-dtx400k-electronic-drum/7869391146.html,No description scraped
Soldano SLO Pedal,100.00,"Brooklyn, NY",https://newyork.craigslist.org/brk/msg/d/brooklyn-soldano-slo-pedal/7851808862.html,No description scraped
Davison electric guitar,60.00,"Brooklyn, NY",https://newyork.craigslist.org/brk/msg/d/brooklyn-davison-electric-guitar/7873370264.html,No description scraped
Soldano Reverb-O-Sonic Combo Amplifier (ROS 50),1200.00,"Brooklyn, NY",https://newyork.craigslist.org/brk/msg/d/brooklyn-soldano-reverb-sonic-combo/7862537629.html,No description scraped
Vintage Epiphone E-85 Vintage Guitar Amplifier w Reverb & Tremelo,150.00,"Brooklyn, NY",https://newyork.craigslist.org/brk/msg/d/brooklyn-vintage-epiphone-85-vintage/7860494979.html,No description scraped
Mesa Boogie Mark 5 25w & Mini Rectifier 1x12 Cab Combo,1700.00,"Brooklyn, NY",https://newyork.craigslist.org/brk/msg/d/brooklyn-mesa-boogie-mark-25w-mini/7871616441.html,No description scraped
